category,description,id,parkCode,title,url
Park Closure,"As of Monday, June 8, 2020, the Memorial Building will remain closed until further notice.  The park's Visitor Center, outdoor spaces, and hiking trails are open to visitors.",258E8D7C-BF5C-BC56-B768A56DB7A449DE,abli,"PARK ALERT! March 18, 2020",
Park Closure,"The Precipice Trail, Jordan Cliffs Trail, Valley Cove Trail, and a portion of the Orange & Black Path are closed to public entry until further notice. Park staff have observed adult peregrine falcons engaging in courtship and pre-nesting behavior.",080DA2BA-155D-451F-67E747D79A312D12,acad,Wildlife Closure: Several Trails Are Off Limits During Peregrine Falcon Nesting Period,https://www.nps.gov/acad/planyourvisit/conditions.htm
Information,Island Explorer fare-free bus service for Acadia National Park and surrounding communities has been postponed indefinitely in response to the COVID-19 pandemic.,C75721EB-0BD4-AEA1-5673D073F24D8F56,acad,Island Explorer bus service postponed for pandemic,http://www.downeasttrans.org/index.htm
Park Closure,"Western Mountain Roads north of Seal Cove Road are closed to motor vehicles, but remain open to hiking and biking. For clarification of specific locations, please call the park information line at (207) 288-3338.",CB8E5C25-067E-433A-9F8F3C4D3FCB0EC4,acad,"Western Mountain Roads closed to vehicles, open to hiking and biking",
Park Closure,"The Park Loop Road and most hiking trails are open. Carriage roads are open, but beware of hazards. Park information is available outside at Hulls Cove Visitor Center. Campgrounds open no sooner than Aug 1.",E83E1FF5-BFDF-0A67-6C51BE900BFD0D86,acad,COVID-19: Phased reopening underway,https://www.nps.gov/acad/planyourvisit/conditions.htm
Park Closure,"Gardens and outdoor spaces at Adams National Historical Park are open from dawn to dusk.  Please follow state and CDC guidelines when visiting the gardens to prevent the spread of COVID-19.  The historic homes, visitor center, and restrooms remain closed.",6EE42B48-A16A-8ED0-34333D3D1E188E7E,adam,Increasing Access to Adams National Historical Park,
Information,"Please be aware there is scaffolding along 290 Broadway and the outdoor memorial. The scaffolding is there to protect visitors and the memorial, because work is being done on the building.",52E31541-EE2B-80F5-1FD04072F7592237,afbg,Scaffolding,
Information,Please be advised that visitors entering 290 Broadway are subject to airport-style security. This may include the removal of shoes and presenting of photo identification. Please plan accordingly.,23397233-155D-451F-6761C3A6476694B7,afbg,Security Screening,
Information,Please return requests for ranger-led programming by e-mail while our fax line at 212.227.2026 is undergoing repairs. Thank you.,BBA60B35-1DD8-B71B-0B713526C005A058,afbg,Fax Machine Down,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, African Burial Ground National Monument is temporarily closed. Read the press release here:",E7F2EC4F-0B79-8359-34DAA0ED0A2C0727,afbg,African Burial Ground is temporarily closed as of 3/16/20.,https://www.nps.gov/afbg/learn/news/afbg-operations-mod.htm
Information,Please note that there is very limited cell phone service in the area.,3E44598E-1DD8-B71B-0BAB5E4EFF401171,agfo,Limited Cell Phone Coverage,
Information,Agate Fossil Beds National Monument is 30 - 50 miles from the nearest service stations.  Be sure to fill your gas tank before visiting.,3E6E24A1-1DD8-B71B-0BF47B2A2BA77175,agfo,No Services,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Agate Fossil Beds Visitor Center is temporarily closed.",5BE7C321-0159-7013-19CE55E4A2AA606A,agfo,Agate Fossil Beds Visitor Center is Temporarily Closed as of 3/18/20,https://www.nps.gov/agfo/learn/news/agate-fossil-beds-national-monument-is-modifying-operations-to-implement-latest-health-guidance.htm
Information,Use (308) 665-4113 to contact the park or click the Contact Us link on the left side of this page to email a ranger.,8182F40E-E4E4-415E-2D0F019BF9A4B404,agfo,Some Park Phone Lines Intermittently Out of Service,
Park Closure,"For public safety, parking areas and visitor facilities managed by the NPS, including Alcatraz Island, are temporarily closed until further notice.",9ACF92B4-CFC5-7E92-5EC4263CAD8CA311,alca,Temporary facilities closure advisory,https://www.nps.gov/goga/planyourvisit/temporary-facilities-closure-advisory.htm
Park Closure,"As of Wednesday March 25th, 2020 the Alibate Flint Quarries Visitor Center will be closed to support federal, state, and local efforts to slow the spread of the novel coronavirus (COVID-19).  This closure is in effect until further notice.",B45CD41C-E448-D584-17F88F820A859CF9,alfl,Alibates Flint Quarries Visitor Center is Closed,
Information,"Park maintenance will be cutting trees along the Staple Bend Tunnel Trail the week of June 22, 2020.The trail will remain open, but we will have work zone ""flaggers"" in place during active periods of tree removal. Trail users should expect minor delays.",CB7E313D-A070-20BF-35C7DA21447A5D3F,alpo,Tree cutting at Staple Bend Tunnel the week of June 22,
