parkCode,name,totalSites,latitude,longitude,numberOfSitesFirstComeFirstServe,numberOfSitesReservable,description,operatingHours,reservationInfo,id,reservationUrl
apis,Presque Isle Campground - Stockton Island,17,51.18145,-90.458518,0,17,"Boat-in only campsites scattered along the shore of Presque Isle Bay on Stockton Island, 14 miles offshore from Bayfield, WI.  Island access is extremely limited in winter and challenging in spring and fall.  Cruise boat and/or water taxi access available from late spring to early fall.  The island features 15 miles of hiking trails,  three beautiful beaches, and supports a population of black bears. Campsites include picnic tables, a fire ring, a tent pad, and a bear proof food locker.","[{'exceptions': [], 'description': 'The campground is open all year.  Getting to the island in winter may involve crossing the ice on Lake Superior.  Getting to the island by boat in spring and fall can be very challenging.  Park staff are stationed on the island from mid-June through Labor Day.  The campground is unstaffed the rest of the year.  Camping permits are required to stay in the campground.  The sites are available on a first-come first-served basis. Specific sites cannot be reserved.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Presque Isle Campground - Stockton Island'}]",Campsites in the Presque Isle Campground can be reserved at www.recreation.gov.,B9A85E18-3D4D-4310-8175-F0F18015AC42,http://www.recreation.gov/wildernessAreaDetails.do?page=detail&contractCode=NRSO&parkId=74996
arch,Devils Garden Campground,51,38.7773329,-109.5887991,0,51,"Camp among slickrock outrcoppings at Devils Garden Campground, 18 miles from the park entrance. 

You can reserve standard campsites up to 6 months in advance for stays March 1-October 31. All sites are usually reserved months in advance. Between November 1 and February 28, sites are first-come, first-served. Facilities include drinking water, picnic tables, grills, and both pit-style and flush toilets.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-03-18', 'name': 'Spring 2020 Closure', 'endDate': '2020-07-18'}], 'description': 'Devils Garden Campground is open year-round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Devils Garden Campground'}]","You can reserve campsites for nights between March 1 and October 31. Between November 1 and February 28, all sites are first-come, first served. Phone and online reservations for both group and individual sites must be made through www.recreation.gov or by calling 1-877-444-6777.  

The earliest you can make reservations for standard sites is 10 am eastern time, six months in advance. The latest you can make reservations is four days in advance. You can reserve group sites up to 12 months in advance.

The campground has two sites for groups of 11 or more people. Juniper Basin campsite accommodates up to 55 people and is available March 1 to October 31; Canyon Wren campsite accommodates up to 35 and may be reserved year-round. No RVs or trailers are permitted in the group sites.",FE998695-1CD4-42C2-A57C-0B8B257BBE09,http://www.recreation.gov/camping/devils-garden-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=74066
asis,Ocean side drive in campground - Loop 1,16,38.2016106,-75.1538651,0,16,"Tents, trailers and recreational vehicles (no hookups). Sites have a picnic table and a fire ring. 
Sites are $30 per night.

Reservations are required from March 15 through November 15.
All sites are First Come/First Serve from November 16 through March 14.","[{'exceptions': [], 'description': 'Open year round', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Ocean side drive in campgroung'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",EB7177AD-9252-4CAD-B85D-08D9BE25AA25,http://www.recreation.gov
asis,Ocean side drive in campground - Loop 2,22,38.1988333,-75.1550285,0,22,"Tents, trailers and recreational vehicles (no hookups). Sites have a picnic table and a fire ring. Sites are $30 per night.

Reservations are required from March 15 through November 15.
All sites are First Come/First Serve from November 16 through March 14.","[{'exceptions': [], 'description': 'Open year round', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Ocean side drive in campground - Loop 2'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",419C593B-C909-4297-A192-68FD6FBE886F,http://www.recreation.gov
asis,Walk in campground - Walk in 1,21,38.1948063,-75.1564668,0,21,"Tent only sites. Sites have a picnic table and a fire ring. 
Sites are $30 per night.","[{'exceptions': [], 'description': 'Tents only. Open seasonally from March 15 through November 15.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Walk in campground - Walk in 1'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",B9B39C25-D4C1-47AE-B02A-AC0E6CB93DCB,http://www.recreation.gov
asis,Walk in campground - Walk in 2,20,38.1948063,-75.1564668,0,21,"Tent only sites. Sites have a picnic table and a fire ring. 
Sites are $30 per night.","[{'exceptions': [], 'description': 'Tents only. Open seasonally from March 15 through November 15.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Walk in campground - Walk in 2'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",63E486F6-4121-4A5A-8B49-6A70F41FB71F,http://www.recreation.gov
asis,Walk in campground - Walk in 3,19,38.1948063,-75.1564668,0,19,Tents only. Open seasonally from March 15 through November 15.,"[{'exceptions': [], 'description': 'Tent only sites. Sites have a picnic table and a fire ring. \nSites are $30 per night.\n\nTents only. Open seasonally from March 15 through November 15.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Walk in campground - Walk in 3'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",037F3A5E-69FF-468F-AC2E-31E05F7323AF,http://www.recreation.gov
asis,Horse camping,2,38.1928208,-75.1574707,0,2,Campground accessible for horses and riders to camp overnight,"[{'exceptions': [], 'description': 'Seasonal camping from October 15 through April 14', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Horse camping'}]","National Park Service Reservation System

Reservations are required from October 16 through April 14. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",27EBFE30-BE1A-4511-9244-CF83F67E3085,
asis,Bay side drive in campground - Loop A,22,38.2077371,-75.1593791,0,22,"Tents, trailers and recreational vehicles (no hookups). Sites have a picnic table and a fire ring. 
Sites are $30 per night.

Reservations are required from March 15 through November 15.
All sites are First Come/First Serve from November 16 through March 14.","[{'exceptions': [], 'description': 'Open year round', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bay side drive in campground - Loop A'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",700E6BD8-F6CA-4A1A-A361-CFEAF028902A,http://www.recreation.gov
asis,Bay side drive in campground - Loop B (no generators allowed),14,38.208415,-75.1631195,0,14,"Tents, trailers and recreational vehicles (no hookups). Sites have a picnic table and a fire ring. 
Sites are $30 per night.

Reservations are required from March 15 through November 15.
All sites are First Come/First Serve from November 16 through March 14.","[{'exceptions': [], 'description': 'Open year round- Generators are not allowed in this loop', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bay side drive in campground - Loop B'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",D5D48392-7373-4D7B-8B38-0FD9DA6444FE,http://www.recreation.gov
asis,Bay side drive in campground - Loop C,11,38.2089162,-75.1646815,0,11,"Tents, trailers and recreational vehicles (no hookups). Sites have a picnic table and a fire ring. 
Sites are $30 per night.

Reservations are required from March 15 through November 15.
All sites are First Come/First Serve from November 16 through March 14.","[{'exceptions': [], 'description': 'Open year round', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bay side drive in campground - Loop C'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",F773E9D2-3C7E-41EA-8D6A-412E8986D0B8,http://www.recreation.gov
asis,Oceanside Group Campground,5,38.208415,-75.1646815,0,5,"Organized clubs and affiliated groups must use group campsites. Tent-only sites, 
located 100-200 feet from centralized parking area. 
Sites have a picnic table and fire ring with grill. 
Group campsites can be reserved year round, up to 6 months in advance 
at $50 per night per site. 7 minimum - 25 maximum campers per site.","[{'exceptions': [], 'description': 'Open year round for group camping', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Oceanside Group Campground'}]","National Park Service Reservation System

Reservations are required from March 15 through November 15. Campsite reservations are available six months in advance. Be aware that nearly all reservations for weekends are filled the first day that they become available.
Call the toll-free reservation line: 1-877-444-6777 (10:00 AM - 10:00 PM EST)",27416013-2F23-4D0A-86FA-42FC24D7A03E,http://www.recreation.gov
asis,Back Country Camping - Little Levels,1,38.0799523,-75.1754318,1,0,Back Country Camping,"[{'exceptions': [], 'description': 'Open year round. Closures are subject to weather conditions and hunting seasons.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping'}]",Reservations are not accepted due to changing weather conditions.,8540D911-6CCA-4DD7-A515-34A3939BABFE,
asis,Back Country Camping - Pope Bay,1,38.0799523,-75.1754318,1,1,Bay side back country campsite,"[{'exceptions': [], 'description': 'Open year round. Closures are subject to weather conditions and hunting seasons.\n\nBack Country Camping Permit', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping - Pope Bay'}]",Reservations are not accepted due to changing weather conditions,FB37FF71-E7EE-4B25-8117-842784111EEC,
asis,Back Country Camping - State Line,1,38.0799523,-75.1754318,1,0,Back Country Camping,"[{'exceptions': [], 'description': 'Open year round. Closures are subject to weather conditions and hunting seasons.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping - State Line'}]",Reservations are not accepted due to changing weather conditions.,B238585C-BEFC-446C-B433-F785D295873E,
