fullName,name,parkCode,designation,states,url
Abraham Lincoln Birthplace National Historical Park,Abraham Lincoln Birthplace,abli,National Historical Park,KY,https://www.nps.gov/abli/index.htm
Acadia National Park,Acadia,acad,National Park,ME,https://www.nps.gov/acad/index.htm
Adams National Historical Park,Adams,adam,National Historical Park,MA,https://www.nps.gov/adam/index.htm
African American Civil War Memorial,African American Civil War Memorial,afam,,DC,https://www.nps.gov/afam/index.htm
African Burial Ground National Monument,African Burial Ground,afbg,National Monument,NY,https://www.nps.gov/afbg/index.htm
Agate Fossil Beds National Monument,Agate Fossil Beds,agfo,National Monument,NE,https://www.nps.gov/agfo/index.htm
Alagnak Wild River,Alagnak,alag,Wild River,AK,https://www.nps.gov/alag/index.htm
Alcatraz Island,Alcatraz Island,alca,,CA,https://www.nps.gov/alca/index.htm
Aleutian Islands World War II National Historic Area,Aleutian Islands World War II,aleu,National Historic Area,AK,https://www.nps.gov/aleu/index.htm
Alibates Flint Quarries National Monument,Alibates Flint Quarries,alfl,National Monument,TX,https://www.nps.gov/alfl/index.htm
Ala Kahakai National Historic Trail,Ala Kahakai,alka,National Historic Trail,HI,https://www.nps.gov/alka/index.htm
Allegheny Portage Railroad National Historic Site,Allegheny Portage Railroad,alpo,National Historic Site,PA,https://www.nps.gov/alpo/index.htm
Amistad National Recreation Area,Amistad,amis,National Recreation Area,TX,https://www.nps.gov/amis/index.htm
American Memorial Park,American Memorial,amme,Park,MP,https://www.nps.gov/amme/index.htm
Anacostia Park,Anacostia,anac,Park,DC,https://www.nps.gov/anac/index.htm
Alaska Public Lands,Alaska Public Lands,anch,,AK,https://www.nps.gov/anch/index.htm
Andersonville National Historic Site,Andersonville,ande,National Historic Site,GA,https://www.nps.gov/ande/index.htm
Aniakchak National Monument & Preserve,Aniakchak,ania,National Monument & Preserve,AK,https://www.nps.gov/ania/index.htm
Andrew Johnson National Historic Site,Andrew Johnson,anjo,National Historic Site,TN,https://www.nps.gov/anjo/index.htm
Antietam National Battlefield,Antietam,anti,National Battlefield,MD,https://www.nps.gov/anti/index.htm
