parkCode,name,Qtr,maxtempC,mintempC,humidity,visibility,windspeedKmph,DewPointC,cloudcover
grsm,Abrams Creek Campground,1,10.21458752,0.7682323,78.67823075,8.028522245,8.19305749,1.305202325,48.06644035
grsm,Abrams Creek Campground,2,23.23199023,11.13308913,77.05006105,8.612942613,7.421245421,12.21978022,33.35164835
grsm,Abrams Creek Campground,3,27.25120773,15.12801932,77.30072464,8.551932367,5.646135266,15.95410628,31.71618357
grsm,Abrams Creek Campground,4,14.16666667,4.163043478,76.90942029,8.413043478,7.103864734,4.258454106,38.50966184
cato,Adirondack Shelters Rental Information,1,5.680456242,-2.726044472,76.74093054,8.25145024,11.96524119,-2.707524807,50.52190648
cato,Adirondack Shelters Rental Information,2,21.48962149,10.40537241,77.66056166,8.367521368,9.887667889,11.29304029,43.92307692
cato,Adirondack Shelters Rental Information,3,26.72342995,15.84178744,77.76207729,8.400966184,7.615942029,16.33937198,35.1678744
cato,Adirondack Shelters Rental Information,4,11.07729469,2.640096618,79.06763285,8.394927536,10.52777778,2.845410628,44.99396135
bica,Afterbay Campground,1,2.13598325,-5.94113983,71.3343619,9.120604998,14.20346627,-7.017007171,38.8250914
bica,Afterbay Campground,2,16.70940171,5.868131868,58.58485958,9.681318681,12.2039072,2.256410256,30.13186813
bica,Afterbay Campground,3,25.75362319,13.89855072,42.72101449,9.93236715,10.76811594,5.230676328,16.16908213
bica,Afterbay Campground,4,5.519323671,-2.285024155,62.19202899,9.437198068,14.61111111,-6.1352657,31.85748792
ozar,Akers Ferry,1,9.39132298,0.805515142,76.53542365,9.00567284,12.55448589,0.679710743,47.0244742
ozar,Akers Ferry,2,24.61416361,13.79365079,78.26617827,8.606837607,10.72527472,14.4981685,36.06715507
ozar,Akers Ferry,3,30.05555556,18.30676328,75.43719807,8.402173913,8.085748792,18.25362319,30.10990338
ozar,Akers Ferry,4,13.56642512,4.670289855,74.32729469,9.007246377,11.11714976,3.892512077,38.4178744
orpi,Alamo Canyon Primitive Campground,1,20.39294347,9.7753798,34.86766806,10.06059554,11.27839395,-2.677358682,15.94177234
orpi,Alamo Canyon Primitive Campground,2,30.98290598,17.83150183,21.76556777,10.0976801,14.99145299,-1.147741148,7.886446886
orpi,Alamo Canyon Primitive Campground,3,34.18357488,25.23792271,39.20048309,9.935990338,11.05555556,12.99516908,16.17753623
orpi,Alamo Canyon Primitive Campground,4,22.41908213,12.89492754,38.06521739,9.961352657,10.82608696,0.962560386,13.9057971
ozar,Alley Spring Campground,1,9.39132298,0.805515142,76.53542365,9.00567284,12.55448589,0.679710743,47.0244742
ozar,Alley Spring Campground,2,24.61416361,13.79365079,78.26617827,8.606837607,10.72527472,14.4981685,36.06715507
ozar,Alley Spring Campground,3,30.05555556,18.30676328,75.43719807,8.402173913,8.085748792,18.25362319,30.10990338
ozar,Alley Spring Campground,4,13.56642512,4.670289855,74.32729469,9.007246377,11.11714976,3.892512077,38.4178744
biso,Alum Ford Campground,1,9.545597002,0.800607233,79.70530809,8.03487575,10.27950334,1.360309722,54.67732515
biso,Alum Ford Campground,2,24.08058608,12.37728938,77.31013431,8.31990232,8.759462759,13.25152625,37.94627595
biso,Alum Ford Campground,3,28.41425121,16.42995169,77.67753623,8.085748792,6.468599034,17.12801932,34.4589372
biso,Alum Ford Campground,4,13.74637681,4.519323672,77.80555556,8.357487923,8.803140097,4.657004831,44.20169082
chis,Anacapa Island Campground,1,17.19125746,9.281031832,65.06483069,9.835130441,12.22738276,5.569861563,22.97008324
chis,Anacapa Island Campground,2,20.78754579,11.95360195,65.59340659,9.892551892,13.8021978,8.954822955,12.30769231
chis,Anacapa Island Campground,3,25.0736715,16.14492754,63.55676329,9.904589372,11.38164251,12.37801932,6.409420289
